MlDomainName,MlIntentName,Utterance
My_First_Intent_Set,Transfer_To_Agent,A human could do a better job here
My_First_Intent_Set,Transfer_To_Agent,a real person to chat with
My_First_Intent_Set,Transfer_To_Agent,Agent
My_First_Intent_Set,Transfer_To_Agent,Agent damn it
My_First_Intent_Set,Transfer_To_Agent,Agent now please!
My_First_Intent_Set,Transfer_To_Agent,Agent please!
My_First_Intent_Set,Transfer_To_Agent,Agent quick!
My_First_Intent_Set,Transfer_To_Agent,Are you a bot? I'd like a human
My_First_Intent_Set,Transfer_To_Agent,Ask agent
My_First_Intent_Set,Transfer_To_Agent,"bill is a smart guy, can you transfer me to him"
My_First_Intent_Set,Transfer_To_Agent,Can I ask someone?
My_First_Intent_Set,Transfer_To_Agent,Can I chat with person instead?
My_First_Intent_Set,Transfer_To_Agent,Can I talk to a human?
My_First_Intent_Set,Transfer_To_Agent,Can I talk to a manager
My_First_Intent_Set,Transfer_To_Agent,Can I talk to an agent?
My_First_Intent_Set,Transfer_To_Agent,Can I talk with a human
My_First_Intent_Set,Transfer_To_Agent,Can I talk with someone
My_First_Intent_Set,Transfer_To_Agent,Can you pls transfer me now?
My_First_Intent_Set,Transfer_To_Agent,Can you transfer me?
My_First_Intent_Set,Transfer_To_Agent,chat with a human
My_First_Intent_Set,Transfer_To_Agent,Chat with human
My_First_Intent_Set,Transfer_To_Agent,Chat with supervisor
My_First_Intent_Set,Transfer_To_Agent,Connect agent
My_First_Intent_Set,Transfer_To_Agent,Connect me to a human
My_First_Intent_Set,Transfer_To_Agent,Connect me to an agent
My_First_Intent_Set,Transfer_To_Agent,Connect me to an agent!
My_First_Intent_Set,Transfer_To_Agent,connect to a human
My_First_Intent_Set,Transfer_To_Agent,connect to a real person
My_First_Intent_Set,Transfer_To_Agent,connect to agent
My_First_Intent_Set,Transfer_To_Agent,connect to human
My_First_Intent_Set,Transfer_To_Agent,connect to live agent
My_First_Intent_Set,Transfer_To_Agent,Contact agent
My_First_Intent_Set,Transfer_To_Agent,do not want to chat with a bot
My_First_Intent_Set,Transfer_To_Agent,Do you have any real humans to can talk to?
My_First_Intent_Set,Transfer_To_Agent,Don't know how much I am paying you
My_First_Intent_Set,Transfer_To_Agent,Find me a human
My_First_Intent_Set,Transfer_To_Agent,Find me a real person
My_First_Intent_Set,Transfer_To_Agent,Find me a service rep
My_First_Intent_Set,Transfer_To_Agent,Find me an agent
My_First_Intent_Set,Transfer_To_Agent,Get a human being to help me
My_First_Intent_Set,Transfer_To_Agent,Get a human for me
My_First_Intent_Set,Transfer_To_Agent,Get a live agent to help me
My_First_Intent_Set,Transfer_To_Agent,Get a person to help me
My_First_Intent_Set,Transfer_To_Agent,Get a real person to help me
My_First_Intent_Set,Transfer_To_Agent,Get a service rep to help me
My_First_Intent_Set,Transfer_To_Agent,Get me a human to talk to
My_First_Intent_Set,Transfer_To_Agent,Get me a person to talk to
My_First_Intent_Set,Transfer_To_Agent,Get me a service rep to talk to
My_First_Intent_Set,Transfer_To_Agent,Get me an agent to talk to
My_First_Intent_Set,Transfer_To_Agent,Give me an agent.
My_First_Intent_Set,Transfer_To_Agent,Help me now please!
My_First_Intent_Set,Transfer_To_Agent,How can I chat with a person?
